film_name,star,ranking,comment_num,year,direct,film_eng_name,quote,poster,genre
"怦然心动,[可播放]",8.9,28,558171人评价,,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,
                            2010 / 美国 / 剧情 喜剧 爱情
                        ", / Flipped,真正的幸福是来自内心深处。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p663036666.jpg,
"指环王3：王者无敌,[可播放]",9.1,29,288881人评价,,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ", / The Lord of the Rings: The Return of the King,史诗的终章。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910825503.jpg,
"少年派的奇幻漂流,[可播放]",9.0,30,587044人评价,,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...,
                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ", / Life of Pi,瑰丽壮观、无人能及的冒险之旅。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1784592701.jpg,
天空之城,9.0,31,337776人评价,,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,
                            1986 / 日本 / 动画 奇幻 冒险
                        ", / 天空の城ラピュタ,对天空的追逐，永不停止。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1446261379.jpg,
鬼子来了,9.2,32,232450人评价,,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,
                            2000 / 中国大陆 / 剧情 战争
                        ", / Devils on the Doorstep,对敌人的仁慈，就是对自己残忍。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1181775734.jpg,
"蝙蝠侠：黑暗骑士,[可播放]",9.0,33,326315人评价,,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ", / The Dark Knight,无尽的黑暗。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg,
"罗马假日,[可播放]",8.9,34,390889人评价,,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,
                            1953 / 美国 / 喜剧 剧情 爱情
                        ", / Roman Holiday,爱情哪怕只有一天。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2189265085.jpg,
"活着,[可播放]",9.1,35,271448人评价,,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,
                            1994 / 中国大陆 香港 / 剧情 历史 家庭
                        ", / 人生  /  Lifetimes,张艺谋最好的电影。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg,
"大话西游之月光宝盒,[可播放]",8.9,36,402883人评价,,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装
                        ", / 西遊記第壹佰零壹回之月光寶盒,旷古烁今。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1280323646.jpg,
"两杆大烟枪,[可播放]",9.0,37,276645人评价,,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,
                            1998 / 英国 / 剧情 喜剧 犯罪
                        "," / Lock, Stock and Two Smoking Barrels",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg,
"飞屋环游记,[可播放]",8.9,38,503590人评价,,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ", / Up,最后那些最无聊的事情，才是最值得怀念的。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p485887754.jpg,
"窃听风暴,[可播放]",9.1,39,225681人评价,,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...,
                            2006 / 德国 / 剧情 悬疑
                        ", / Das Leben der Anderen,别样人生。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1808872109.jpg,
